matter_type,year,status,value
FOI external reviews,2021-22,Received,378
FOI external reviews,2021-22,Closed,423
FOI external reviews,2022-23,Received,322
FOI external reviews,2022-23,Closed,287
FOI external reviews,2023-24,Received,298
FOI external reviews,2023-24,Closed,308
FOI external reviews,2024-25,Received,175
FOI external reviews,2024-25,Closed,175
FOI enquiries,2021-22,Received,236
FOI enquiries,2021-22,Closed,235
FOI enquiries,2022-23,Received,198
FOI enquiries,2022-23,Closed,200
FOI enquiries,2023-24,Received,122
FOI enquiries,2023-24,Closed,121
FOI enquiries,2024-25,Received,150
FOI enquiries,2024-25,Closed,150
FOI complaints,2021-22,Received,104
FOI complaints,2021-22,Closed,114
FOI complaints,2022-23,Received,72
FOI complaints,2022-23,Closed,71
FOI complaints,2023-24,Received,85
FOI complaints,2023-24,Closed,84
FOI complaints,2024-25,Received,70
FOI complaints,2024-25,Closed,75
FOI practices and procedures,2021-22,Received,82
FOI practices and procedures,2021-22,Closed,87
FOI practices and procedures,2022-23,Received,43
FOI practices and procedures,2022-23,Closed,42
FOI practices and procedures,2023-24,Received,65
FOI practices and procedures,2023-24,Closed,63
FOI practices and procedures,2024-25,Received,34
FOI practices and procedures,2024-25,Closed,36
Sufficiency of search,2021-22,Received,22
Sufficiency of search,2021-22,Closed,27
Sufficiency of search,2022-23,Received,29
Sufficiency of search,2022-23,Closed,29
Sufficiency of search,2023-24,Received,20
Sufficiency of search,2023-24,Closed,21
Sufficiency of search,2024-25,Received,36
Sufficiency of search,2024-25,Closed,39
