Equal Opportunity SA (EOSA) Annual Report Data 2023-24,,,,,,,,,,
,,,,,,,,,,
"Equal Opportunity SA is a business unit of the Attorney-General's Department (AGD). Information on corporate and financial performance, risk management (including fraud detected and public interest disclosure), public complaints and audited financial statements can be found in the 2023-24 Annual Report for AGD.",,,,,,,,,,
,,,,,,,,,,
Pregnancy,3,1%,4,2%,0,0%,0,0%,1,1%
Identity of Spouse,8,3%,2,1%,2,2%,3,2%,0,0%
Whistleblower*,5,2%,0,0%,3,3%,2,2%,0,0%
Other,0,0%,27,14%,0,0%,1,1%,0,0%
Religious Appearance or Dress,0,0%,0,0%,1,1%,0,0%,0,0%
Aiding Unlawful Act,0,0%,0,0%,1,1%,0,0%,0,0%
Domestic Abuse,,,,,,,,,0,0%
Total Grounds,233,100%,187,100%,118,100%,127,100%,84,100%
"*  Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Notes - there may be more than one ground per complaint. Data in the table will vary slightly from year to year due to database corrections and changes during the period a complaint is open. ‘Other’ added from 2020-21. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
Table 9: Areas of accepted complaints (across all grounds),2019-20,,2020-21,,2021-22,,2022-23,,2023-24,
,No.,No.,No.,No.,No.,%,No.,%,No.,%
Employment,163,70%,66,58%,46,56%,49,67%,21,57%
Goods and Services,29,12%,27,24%,21,26%,13,18%,11,30%
Education/Training ,36,15%,10,9%,10,12%,5,7%,4,11%
Clubs and Associations,3,1%,4,4%,4,5%,2,3%,1,3%
Advertising,0,0%,3,3%,0,0%,1,1%,0,0%
Housing/Land/Accommodation,2,1%,2,2%,0,0%,3,4%,0,0%
Qualification,0,0%,1,1%,1,1%,0,0%,0,0%
Total Areas,233,100%,113,100%,82,100%,73,100%,37,100%
,,,,,,,,,,
Table 10: Accepted complaint grounds by area,Area,,,,,,,,,
Ground,Advertising,Clubs and Associations,Education and training,Employment,Goods and Services,"Housing, land and accommodation",Total,,,
Sexual Harassment,0,1,2,16,0,0,19,,,
Disability,0,0,1,7,7,0,15,,,
Sex,0,0,1,9,2,0,12,,,
Victimisation,0,0,0,8,1,0,9,,,
Race,0,0,0,4,1,0,5,,,
Age,0,0,1,2,0,0,3,,,
Association with a Child,0,0,0,0,2,0,2,,,
Caring Responsibilities,0,0,0,1,1,0,2,,,
Gender Identity,0,0,0,1,1,0,2,,,
Marital Status,0,0,0,0,1,0,1,,,
Pregnancy,0,0,0,1,0,0,1,,,
Sexual Orientation,0,1,0,0,0,0,1,,,
Aiding Unlawful Act,0,0,0,0,0,0,0,,,
Domestic Abuse,0,0,0,0,0,0,0,,,
Identity of Spouse or Partner,0,0,0,0,0,0,0,,,
Intersex status,0,0,0,0,0,0,0,,,
Religious Dress,0,0,0,0,0,0,0,,,
