file,table,rows
ombudsman-act-matters-by-respondent-2024-25.csv,"Table 1: Ombudsman Act jurisdiction - matters received/completed by respondent type, 2024-25",3
ombudsman-act-matters-by-year.csv,"Table 2: Ombudsman Act jurisdiction - matters received/completed/audited, 2021-22 to 2024-25",48
complaints-by-prison-2024-25.csv,"Table 3: Ombudsman Act jurisdiction - complaints received by prison, 2024-25",10
misconduct-maladministration-received-2024-25.csv,"Table 4: misconduct/maladministration issues received directly (not via ICAC/OPI referral), by channel, 2024-25",6
misconduct-maladministration-referred-2024-25.csv,"Table 5: misconduct/maladministration issues referred by ICAC/OPI and closed, 2024-25",2
misconduct-maladministration-by-agency-type-2024-25.csv,"Table 6: respondent agency type of misconduct/maladministration matters closed, 2024-25",5
public-interest-disclosures-2024-25.csv,"Table 7: public interest disclosures received, by respondent agency type, 2024-25",6
rtw-act-matters-by-year.csv,"Table 12: Return to Work Act jurisdiction - matters received/completed, 2021-22 to 2024-25",32
rtw-act-complaint-issues-2024-25.csv,"Table 13: Return to Work Act jurisdiction - complaint issues, 2024-25",9
rtw-act-complaint-outcomes-2024-25.csv,"Table 14: Return to Work Act jurisdiction - complaint outcomes, 2024-25",9
complaints-about-osa-2024-25.csv,"Table 15: individual complaints about Ombudsman SA itself, 2024-25 (case reference + generic title + outcome only, no complainant name)",43
complaints-to-inspector-2024-25.csv,"Table 16: individual complaints made to the Inspector, 2024-25 (case reference + generic title + outcome only, no complainant name)",6
complaints-by-agency-2024-25.csv,"Tables 17/19/21 merged: Ombudsman Act complaints received/completed by individual agency, 2024-25",162
complaint-outcomes-2024-25.csv,"Tables 18/20/22 merged: Ombudsman Act complaint outcomes by jurisdiction, 2024-25",72
