financial_year,channel,count,pct_of_total
2019-20,Telephone,390,64%
2020-21,Telephone,427,65%
2021-22,Telephone,460,71%
2022-23,Telephone,384,69%
2023-24,Telephone,355,63%
2019-20,Email,152,25%
2020-21,Email,220,33%
2021-22,Email,170,26%
2022-23,Email,152,27%
2023-24,Email,201,35%
2019-20,Online form,9,1%
2020-21,Online form,2,0%
2021-22,Online form,9,1%
2022-23,Online form,6,1%
2023-24,Online form,4,1%
2019-20,Letter,3,0%
2020-21,Letter,4,1%
2021-22,Letter,8,1%
2022-23,Letter,7,1%
2023-24,Letter,3,1%
2019-20,In person,51,8%
2020-21,In person,4,1%
2021-22,In person,0,0%
2022-23,In person,3,1%
2023-24,In person,5,1%
2019-20,Hardcopy form,0,0%
2020-21,Hardcopy form,2,0%
2021-22,Hardcopy form,0,0%
2022-23,Hardcopy form,0,0%
2023-24,Hardcopy form,0,0%
2019-20,Facebook,2,0%
2020-21,Facebook,0,0%
2021-22,Facebook,0,0%
2022-23,Facebook,1,0%
2023-24,Facebook,0,0%
