sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Intimate partner,Number,131.4,14.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Boyfriend or date,Number,61.7,20.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Cohabiting partner,Number,84.8,15.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Cohabiting partner,Number,17.7,31.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Intimate partner,Number,24.8,26.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Boyfriend or date,Number,11.2,40.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Cohabiting partner,Number,86.7,15.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Number,92.7,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Intimate partner,Number,141.8,12.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Boyfriend or date,Number,67.0,18.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Number,67.0,18.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Number,147.6,13.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Economic abuse,By a person,Cohabiting partner,Number,225.4,8.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Number,391.0,6.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Cohabiting partner,Number,61.2,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Intimate partner,Number,72.2,17.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Boyfriend or date,Number,15.7,43.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Boyfriend or date,Number,3.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Cohabiting partner,Number,9.2,47.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Intimate partner,Number,15.5,29.5,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Number,70.4,16.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Boyfriend or date,Number,17.8,38.6,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Cohabiting partner,Number,61.3,16.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Intimate partner,Number,81.6,15.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Cohabiting partner,Number,38.3,23.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner,Number,75.8,17.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Boyfriend or date,Number,44.5,22.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Cohabiting partner,Number,2.9,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Boyfriend or date,Number,8.1,40.8,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner,Number,7.6,n.p.,n.a.,n.a.,n.a.,**
