financial_year,region,approved_count,pct_of_year_total
2015-16,Adelaide Hills,26,2.22
2015-16,Barossa,58,4.96
2015-16,Eastern Adelaide,45,3.85
2015-16,Eyre and Western,64,5.47
2015-16,Far North,28,2.39
2015-16,Fleurieu and Kangaroo Island,19,1.62
2015-16,Limestone Coast,66,5.64
2015-16,Murray and Mallee,63,5.38
2015-16,Northern Adelaide,381,32.56
2015-16,Southern Adelaide,232,19.83
2015-16,Western Adelaide,119,10.17
2015-16,Yorke and Mid North,69,5.9
2016-17,Adelaide Hills,28,2.75
2016-17,Barossa,47,4.61
2016-17,Eastern Adelaide,56,5.49
2016-17,Eyre and Western,65,6.37
2016-17,Far North,24,2.35
2016-17,Fleurieu and Kangaroo Island,15,1.47
2016-17,Limestone Coast,64,6.27
2016-17,Murray and Mallee,67,6.57
2016-17,Northern Adelaide,335,32.84
2016-17,Southern Adelaide,177,17.35
2016-17,Western Adelaide,103,10.1
2016-17,Yorke and Mid North,35,3.43
2016-17,Not recorded (NULL -- lost in 2016-17 system migration),4,0.39
2017-18,Adelaide Hills,24,2.4
2017-18,Barossa,54,5.3
2017-18,Eastern Adelaide,63,6.2
2017-18,Eyre and Western,81,8.0
2017-18,Far North,7,0.7
2017-18,Fleurieu and Kangaroo Island,23,2.3
2017-18,Limestone Coast,63,6.2
2017-18,Murray and Mallee,68,6.7
2017-18,Northern Adelaide,307,30.3
2017-18,Southern Adelaide,168,16.6
2017-18,Western Adelaide,112,11.0
2017-18,Yorke and Mid North,44,4.3
