reporting_period,breach_category,case_reference_no,breach_description,sanction_outcome
2022-23,Criminal offence (s26(1)(a)),10,Criminal - Sexual offence,Employment with SA Police terminated after criminal conviction.
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),1,Clause 4 Performance of Orders / Duties - Disobey Orders and Failure to carry out a lawful order,Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),2,Clause 3 Conduct Prejudicial - Corrupt or Improper Practice (33 counts); Clause 4 Performance of Orders / Duties - Failure to carry out a General Order (2 counts),Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),3,Clause 8 Conflict of Interest - Conflict of Interest; Clause 10 Confidentiality of Information - Improper Disclosure of Information,Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),4,Clause 4 Performance of Orders / Duties - Failure to carry out a General Order; Clause 10 Confidentiality of Information - Improper release / Access,Fine / Recorded Reprimand / Training and Education
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),5,Clause 4 Performance of Orders / Duties - Disobey Orders,Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),6,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order,Unrecorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),6,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order; Clause 7 Conduct Public / SA Police - Conduct towards Employee,Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),7,Clause 3 Conduct Prejudicial - Reflects Adversely,Recorded Reprimand / Suspension without Pay (Penalty)
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),8,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order; Clause 5 Negligence - Neglect of Duty,Fine / Recorded Reprimand
2022-23,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),9,Clause 2 Honesty and Integrity - Falsehood / prevarication; Clause 4 Performance of Orders / Duties - Disobey Orders; Clause 8 Conflict of Interest - Conflict of Interest,Fine / Recorded Reprimand / Suspension without Pay (Penalty)
2022-23,Code of Conduct - Police Regulations 2014 (s26(1)(b)/(c)),,NIL,
2022-23,Code of Conduct - Police Regulations 1999 (s26(1)(b)/(c)),,NIL,
2021-22,Criminal offence (s26(1)(a)),,NIL,
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),1,Clause 4 Performance of orders / duties - Failure to carry out a lawful order,Fine / recorded reprimand / training and education
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),2,Clause 10 Confidentiality of information - improper release/access,Recorded reprimand / fine
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),3,Clause 3 Conduct prejudicial - reflects adversely (2 counts); Clause 4 Performance of orders / duties - Failure to carry out a general order (2 counts),Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),4,Clause 7 Conduct public / SAPOL - conduct towards employee,Fine / transfer / recorded reprimand / counselling
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),5,Clause 4 Performance of orders / duties - failure to carry out a general order,Fine / transfer / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),6,Clause 2 Honesty and Integrity - Honesty; Clause 3 Conduct Prejudicial - reflects adversely; Clause 5 Negligence - neglect of duty,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),7,Clause 4 Performance of orders / duties - disobey orders; Clause 10 Confidentiality of information - improper disclosure of information,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),8,Clause 4 Performance of orders / duties - disobey orders; Clause 10 Confidentiality of information - improper disclosure of information,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),9,Clause 3 Conduct prejudicial - reflects adversely,Fine / transfer / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),10,Clause 4 Performance of orders / duties - disobey orders,Recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),11,Clause 4 Performance of orders / duties - disobey orders; Clause 4 Performance of orders / duties - failure to carry out a general order,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),12,Clause 4 Performance of orders / duties - disobey orders,Transfer / recorded reprimand / reduction in rank
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),13,Clause 6 Proper exercise of authority - excessive force,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),14,Clause 3 Conduct prejudicial - reflects adversely,Fine / recorded reprimand
2021-22,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),15,Clause 10 Confidentiality of information - improper release / access,Fine / recorded reprimand
2021-22,Code of Conduct - Police Regulations 2014 (s26(1)(b)/(c)),,NIL,
2021-22,Code of Conduct - Police Regulations 1999 (s26(1)(b)/(c)),,NIL,
2020-21,Criminal offence (s26(1)(a)),12,Criminal - Drug Offence,Employment Terminated
2020-21,Criminal offence (s26(1)(a)),18,Criminal - Fraud Offence,Employment Terminated
2020-21,Criminal offence (s26(1)(a)),19,Criminal - Offence Against the Person,Employment Terminated
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),1,"Clause 7 Conduct Public/ SAPOL - Oppressive, offensive, abusive",Fine/Recorded Reprimand/Transfer
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),2,Clause 3 Conduct Prejudicial - Good Order and Discipline,Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),3,Clause 6 Proper Exercise of Authority - Excessive Force,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),4,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order,Transfer/Administrative Order - Penalty Officer
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),5,Clause 3 Conduct Prejudicial - Good Order and Discipline; Clause 4 Performance of Orders/Duties - Failure to carry out a General Order,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),7,Clause 10 Confidentiality of Information - Improper Release/Access,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),8,Clause 3 Conduct Prejudicial - Good Order and Discipline; Clause 4 Performance of Orders / Duties - Disobey Orders,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),9,Clause 7 Conduct Public/SAPOL - Conduct towards employee,Fine/Training and Education/Transfer
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),10,Clause 5 Negligence - Neglect of Duty,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),11,Clause 10 Confidentiality of Information - Improper Release/Access,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),12,Clause 3 Conduct Prejudicial - Reflects Adversely,Employment Terminated
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),13,Clause 3 Conduct Prejudicial - Good Order and Discipline; Clause 11 Responsibility for Property - Fail to comply Property General Order,Fine/Training and Education/Transfer/Administration Order - Penalty Officer
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),15,Clause 10 Confidentiality of Information - Improper Release/Access,Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),16,Clause 7 Conduct Public/SAPOL - Conduct towards public; Clause 10 Confidentiality of Information - Improper Release/Access,Fine/Recorded Reprimand/Fine
2020-21,Code of Conduct - PCD Regulations 2017 (s26(1)(b)/(c)),17,Clause 2 Honesty and Integrity - Integrity,Fine
2020-21,Code of Conduct - PCD Regulations 2014 (s26(1)(b)/(c)),6,Regulation 20 Confidentiality of Information - Improper Disclosure of Information (2 counts); Regulation 20 Confidentiality of Information - Improper Release/Access (6 counts),Fine/Recorded Reprimand
2020-21,Code of Conduct - PCD Regulations 2014 (s26(1)(b)/(c)),14,Regulation 13 Conduct Prejudicial - Good Order and Discipline,Recorded Reprimand
2019-20,Code of Conduct - Police Regulations 2014,6,Reg 14 Conduct Prejudicial - Reflects Adversely,Fine
2019-20,Code of Conduct - Police Regulations 2014,7,Reg 14 Conduct Prejudicial - Good Order & Discipline,Reduction in Rank / Penalty - Administrative Order
2019-20,Code of Conduct - Police Regulations 2014,8,Reg 18 Conduct Public / SAPOL - Conduct towards Employee (three counts),Reduction in Rank / Transfer
2019-20,Code of Conduct - PCD Regulations 2017,1,Clause 3 Conduct Prejudicial - Reflects Adversely (three counts); Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order; Clause 8 Conflict of Interest - Conflict of Interest,Fine / Recorded Reprimand / Transfer
2019-20,Code of Conduct - PCD Regulations 2017,2,Clause 10 Confidentiality of Information - Improper Release / Access (five counts),Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,3,Clause 10 Confidentiality of Information - Improper Release / Access (nine counts),Fine / Recorded Reprimand / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,4,Clause 8 Conflict of Interest - Conflict of Interest; Clause 10 Confidentiality of Information - Improper Release / Access,Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,5,Clause 10 Confidentiality of Information - Improper Release / Access (seven counts),Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,8,Clause 4 Performance of Orders / Duties - Disobey Orders,Reduction in Rank / Transfer
2019-20,Code of Conduct - PCD Regulations 2017,9,"Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order; Clause 7 Conduct Public/ SAPOL - Oppressive, offensive, abusive",Fine / Recorded Reprimand / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,10,Clause 4 Performance of Orders/ Duties - Failure to carry out a lawful order (16 counts),Recorded Reprimand / Transfer
2019-20,Code of Conduct - PCD Regulations 2017,11,Clause 7 Conduct Public / SAPOL - Conduct towards Employee,Penalty - Suspension without Pay
2019-20,Code of Conduct - PCD Regulations 2017,12,"Clause 7 Conduct Public / SAPOL - Oppressive, offensive, abusive",Transfer / Counselling
2019-20,Code of Conduct - PCD Regulations 2017,13,Clause 2 Honesty & Integrity - Falsehood / prevarication,Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,14,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order,Fine / Recorded Reprimand / Transfer / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,15,Clause 9 Obtain benefit or advantage - Improperly seek / obtain benefit / advantage,Fine / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,16,Clause 5 Negligence - Neglect of Duty,Fine / Training and Education / Transfer / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,17,Criminal - Traffic,Fine / Recorded Reprimand / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,18,Clause 2 Honesty & Integrity - Falsehood / prevarication,Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,19,Clause 10 Confidentiality of Information - Improper Disclosure of Information,Fine / Penalty - Administrative Order
2019-20,Code of Conduct - PCD Regulations 2017,20,Criminal - Traffic,Fine / Recorded Reprimand
2019-20,Code of Conduct - PCD Regulations 2017,21,Clause 10 Confidentiality of Information - Improper Release / Access,Fine / Recorded Reprimand
2018-19,Code of Conduct - Police Regulations 1999,1,Criminal - Abuse of Public Office,Reduction in Rank / Transfer / Fine
2018-19,Code of Conduct - Police Regulations 1999,2,Reg 20 Confidentiality of Information - Improper Release / Access,Fine
2018-19,Code of Conduct - Police Regulations 2014,2,Reg 15 Performance of Orders / Duties - Disobey Orders; Reg 21 Confidentiality of Information - Improper Release / Access,Fine
2018-19,Code of Conduct - Police Regulations 2014,3,Criminal - Traffic,Fine / Recorded Reprimand
2018-19,Code of Conduct - Police Regulations 2014,4,Criminal - Traffic,Fine / Recorded Reprimand
2018-19,Code of Conduct - Police Regulations 2014,5,Reg 14 Conduct Prejudicial - Reflects Adversely,Fine
2018-19,Code of Conduct - Police Regulations 2014,6,Criminal - Traffic,Fine / Recorded Reprimand
2018-19,Code of Conduct - Police Regulations 2014,7,Reg 15 Performance of Orders / Duties - Disobey Orders; Reg 21 Confidentiality of Information - Improper Release / Access,Fine / Recorded Reprimand
2018-19,Code of Conduct - Police Regulations 2014,9,Reg 14 Conduct Prejudicial - Reflects Adversely,Reduction in Rank / Transfer
2018-19,Code of Conduct - Police Regulations 2014,11,Reg 15 Performance of Orders / Duties - Disobey Orders,Recorded Reprimand
2018-19,Code of Conduct - PCD Regulations 2017,8,Clause 6 Proper Exercise of Authority - Excessive Force,Fine
2018-19,Code of Conduct - PCD Regulations 2017,10,Clause 4 Performance of Orders / Duties - Failure to carry out a lawful order; Clause 5 Negligence - Neglect of Duty,Fine / Recorded Reprimand / Training and Education
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),9,Police Regulations 1999 - Reg 16 Proper Exercise of Authority - Excessive Force; Police Regulations 2014 - Reg 17 Proper Exercise of Authority - Abuse of Authority,Fine / Recorded Reprimand
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),10,Police Regulations 1999 - Reg 15 Negligence - Neglect of Duty,Fine / Recorded Reprimand
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),11,Police Regulations 1999 - Reg 15 Negligence - Neglect of Duty,Fine / Training and Education
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),12,Police Regulations 1999 - Reg 14 Performance of Orders / Duties - Failure to Carry Out Lawful Order; Reg 15 Negligence - Neglect of Duty; Police Regulations 2014 - Reg 16 Negligence - Neglect of Duty,Fine / Recorded Reprimand / Training and Education
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),13,Police Regulations 2014 - Reg 14 Conduct Prejudicial - Reflects Adversely,Unrecorded Reprimand / Counselling
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),14,Police Regulations 2014 - Reg 21 Confidentiality of Information - Improper Release / Access; Reg 19 Conflict of Interest - Conflict of Interest,Fine / Recorded Reprimand
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),15,Police Regulations 2014 - Reg 13 Honesty & Integrity - Honesty; Reg 21 Confidentiality of Information - Improper Release / Access (2 counts); Reg 13 Honesty & Integrity - Integrity,Transfer
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),16,Police Regulations 2014 - Reg 14 Conduct Prejudicial - Reflects Adversely,Fine / Recorded Reprimand
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),17,Police Regulations 2014 - Reg 14 Conduct Prejudicial - Good Order & Discipline; Reg 14 Conduct Prejudicial - Reflects Adversely,Reduction in Rank / Transfer / Fine
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),18,Police Regulations 2014 - Criminal - Traffic,Fine / Recorded Reprimand
2017-18,Breach of the Code of Conduct (4 Sept 2017 to 30 Jun 2018),19,Police Regulations 2014 - Criminal - Offence against Person,Unrecorded Reprimand
