financial_year,subject_category,complaints_pct,reports_pct
2017-18,Ombudsman,,
2017-18,Inquiry Agency,1.0,
2017-18,Local government,21.8,15.6
2017-18,Member of Parliament,1.2,1.0
2017-18,Statutory Authority,16.9,10.3
2017-18,State government,48.7,70.4
2017-18,SA Police (received prior to 4 September 2017),9.2,2.3
2017-18,Private / unknown,1.2,0.4
2016-17,Ombudsman,,
2016-17,Inquiry Agency,0.5,0.5
2016-17,Local government,16.1,15.7
2016-17,Member of Parliament,0.9,0.5
2016-17,Statutory Authority,8.2,6.2
2016-17,State government,32.2,69.2
2016-17,SA Police (received prior to 4 September 2017),40.7,7.6
2016-17,Private / unknown,1.4,0.3
2015-16,Ombudsman,,
2015-16,Inquiry Agency,,
2015-16,Local government,22,15
2015-16,Member of Parliament,2,
2015-16,Statutory Authority,11,7
2015-16,State government,64,77
2015-16,SA Police (received prior to 4 September 2017),,
2015-16,Private / unknown,1,
2014-15,Ombudsman,,
2014-15,Inquiry Agency,,
2014-15,Local government,21,19
2014-15,Member of Parliament,2,1
2014-15,Statutory Authority,9,10
2014-15,State government,67,69
2014-15,SA Police (received prior to 4 September 2017),,
2014-15,Private / unknown,1,1
2013-14,Ombudsman,,
2013-14,Inquiry Agency,,
2013-14,Local government,19,13
2013-14,Member of Parliament,5,2
2013-14,Statutory Authority,12,5
2013-14,State government,64,79
2013-14,SA Police (received prior to 4 September 2017),,
2013-14,Private / unknown,,1
