state,south_australia_related,phn_code,phn_area_name,reporting_year,age_group,population_group,num_registered_children,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,interpret_with_caution
SA,True,PHN401,Adelaide,2013-14,1 year,All children,14729,13262,1467,90,
SA,True,PHN402,Country SA,2013-14,1 year,All children,5548,5017,531,90.4,
WA,False,PHN501,Perth North,2013-14,1 year,All children,13540,12230,1310,90.3,
WA,False,PHN502,Perth South,2013-14,1 year,All children,13086,11692,1394,89.3,
WA,False,PHN503,Country WA,2013-14,1 year,All children,7464,6798,666,91.1,
TAS,False,PHN601,Tasmania,2013-14,1 year,All children,5940,5334,606,89.8,
NT,False,PHN701,Northern Territory,2013-14,1 year,All children,3893,3536,357,90.8,
ACT,False,PHN801,Australian Capital Territory,2013-14,1 year,All children,5513,5128,385,93,
NSW,False,PHN101,Central and Eastern Sydney,2013-14,2 years,All children,18812,17060,1752,90.7,
NSW,False,PHN102,Northern Sydney,2013-14,2 years,All children,10983,9933,1050,90.4,
NSW,False,PHN103,Western Sydney,2013-14,2 years,All children,14405,13149,1256,91.3,
NSW,False,PHN104,Nepean Blue Mountains,2013-14,2 years,All children,5006,4664,342,93.2,
NSW,False,PHN105,South Western Sydney,2013-14,2 years,All children,13744,12587,1157,91.6,
NSW,False,PHN106,South Eastern NSW,2013-14,2 years,All children,6980,6491,489,93,
NSW,False,PHN107,Western NSW,2013-14,2 years,All children,4217,3977,240,94.3,
NSW,False,PHN108,Hunter New England and Central Coast,2013-14,2 years,All children,15768,14861,907,94.2,
NSW,False,PHN109,North Coast,2013-14,2 years,All children,5787,5099,688,88.1,
NSW,False,PHN110,Murrumbidgee,2013-14,2 years,All children,3013,2849,164,94.6,
VIC,False,PHN201,North Western Melbourne,2013-14,2 years,All children,21725,20002,1723,92.1,
VIC,False,PHN202,Eastern Melbourne,2013-14,2 years,All children,17094,15804,1290,92.5,
VIC,False,PHN203,South Eastern Melbourne,2013-14,2 years,All children,18290,16949,1341,92.7,
VIC,False,PHN204,Gippsland,2013-14,2 years,All children,3149,2972,177,94.4,
VIC/NSW,False,PHN205,Murray,2013-14,2 years,All children,7266,6797,469,93.5,
VIC,False,PHN206,Western Victoria,2013-14,2 years,All children,7336,6939,397,94.6,
QLD,False,PHN301,Brisbane North,2013-14,2 years,All children,11860,11113,747,93.7,
QLD,False,PHN302,Brisbane South,2013-14,2 years,All children,14917,13877,1040,93,
QLD,False,PHN303,Gold Coast,2013-14,2 years,All children,6888,6315,573,91.7,
QLD,False,PHN304,Darling Downs and West Moreton,2013-14,2 years,All children,7829,7315,514,93.4,
QLD,False,PHN305,Western Queensland,2013-14,2 years,All children,1204,1143,61,95,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,2 years,All children,9847,9113,734,92.5,
QLD,False,PHN307,Northern Queensland,2013-14,2 years,All children,9902,9312,590,94,
SA,True,PHN401,Adelaide,2013-14,2 years,All children,14243,13096,1147,91.9,
SA,True,PHN402,Country SA,2013-14,2 years,All children,5638,5242,396,93,
WA,False,PHN501,Perth North,2013-14,2 years,All children,13236,12034,1202,90.9,
WA,False,PHN502,Perth South,2013-14,2 years,All children,12868,11548,1320,89.7,
WA,False,PHN503,Country WA,2013-14,2 years,All children,7300,6803,497,93.2,
TAS,False,PHN601,Tasmania,2013-14,2 years,All children,6108,5689,419,93.1,
NT,False,PHN701,Northern Territory,2013-14,2 years,All children,3743,3504,239,93.6,
ACT,False,PHN801,Australian Capital Territory,2013-14,2 years,All children,5446,5070,376,93.1,
NSW,False,PHN101,Central and Eastern Sydney,2013-14,5 years,All children,17400,15682,1718,90.1,
NSW,False,PHN102,Northern Sydney,2013-14,5 years,All children,11589,10420,1169,89.9,
NSW,False,PHN103,Western Sydney,2013-14,5 years,All children,13823,12742,1081,92.2,
NSW,False,PHN104,Nepean Blue Mountains,2013-14,5 years,All children,5107,4766,341,93.3,
NSW,False,PHN105,South Western Sydney,2013-14,5 years,All children,14015,13029,986,93,
NSW,False,PHN106,South Eastern NSW,2013-14,5 years,All children,7392,6944,448,93.9,
NSW,False,PHN107,Western NSW,2013-14,5 years,All children,4448,4195,253,94.3,
NSW,False,PHN108,Hunter New England and Central Coast,2013-14,5 years,All children,16131,15238,893,94.5,
NSW,False,PHN109,North Coast,2013-14,5 years,All children,6314,5603,711,88.7,
NSW,False,PHN110,Murrumbidgee,2013-14,5 years,All children,3288,3122,166,95,
VIC,False,PHN201,North Western Melbourne,2013-14,5 years,All children,20375,18841,1534,92.5,
VIC,False,PHN202,Eastern Melbourne,2013-14,5 years,All children,17527,16193,1334,92.4,
VIC,False,PHN203,South Eastern Melbourne,2013-14,5 years,All children,18337,16807,1530,91.7,
VIC,False,PHN204,Gippsland,2013-14,5 years,All children,3388,3166,222,93.4,
VIC/NSW,False,PHN205,Murray,2013-14,5 years,All children,7643,7125,518,93.2,
VIC,False,PHN206,Western Victoria,2013-14,5 years,All children,7835,7331,504,93.6,
QLD,False,PHN301,Brisbane North,2013-14,5 years,All children,12267,11377,890,92.7,
QLD,False,PHN302,Brisbane South,2013-14,5 years,All children,15167,13981,1186,92.2,
QLD,False,PHN303,Gold Coast,2013-14,5 years,All children,7233,6514,719,90.1,
QLD,False,PHN304,Darling Downs and West Moreton,2013-14,5 years,All children,8302,7739,563,93.2,
QLD,False,PHN305,Western Queensland,2013-14,5 years,All children,1198,1132,66,94.5,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,5 years,All children,10820,9907,913,91.6,
QLD,False,PHN307,Northern Queensland,2013-14,5 years,All children,10187,9490,697,93.2,
SA,True,PHN401,Adelaide,2013-14,5 years,All children,14278,12911,1367,90.4,
SA,True,PHN402,Country SA,2013-14,5 years,All children,6080,5622,458,92.5,
WA,False,PHN501,Perth North,2013-14,5 years,All children,13490,12024,1466,89.1,
WA,False,PHN502,Perth South,2013-14,5 years,All children,12541,11146,1395,88.9,
WA,False,PHN503,Country WA,2013-14,5 years,All children,7570,6988,582,92.3,
TAS,False,PHN601,Tasmania,2013-14,5 years,All children,6520,6045,475,92.7,
NT,False,PHN701,Northern Territory,2013-14,5 years,All children,3524,3221,303,91.4,
ACT,False,PHN801,Australian Capital Territory,2013-14,5 years,All children,5158,4779,379,92.7,
NSW,False,PHN101,Central and Eastern Sydney,2012-13,1 year,All children,19371,17507,1864,90.4,
NSW,False,PHN102,Northern Sydney,2012-13,1 year,All children,10628,9616,1012,90.5,
NSW,False,PHN103,Western Sydney,2012-13,1 year,All children,14086,12723,1363,90.3,
NSW,False,PHN104,Nepean Blue Mountains,2012-13,1 year,All children,4923,4516,407,91.7,
NSW,False,PHN105,South Western Sydney,2012-13,1 year,All children,13482,12174,1308,90.3,
NSW,False,PHN106,South Eastern NSW,2012-13,1 year,All children,6811,6240,571,91.6,
NSW,False,PHN107,Western NSW,2012-13,1 year,All children,4225,3824,401,90.5,
NSW,False,PHN108,Hunter New England and Central Coast,2012-13,1 year,All children,15646,14565,1081,93.1,
NSW,False,PHN109,North Coast,2012-13,1 year,All children,5640,4856,784,86.1,
NSW,False,PHN110,Murrumbidgee,2012-13,1 year,All children,3020,2784,236,92.2,
VIC,False,PHN201,North Western Melbourne,2012-13,1 year,All children,21698,19750,1948,91,
VIC,False,PHN202,Eastern Melbourne,2012-13,1 year,All children,16706,15332,1374,91.8,
VIC,False,PHN203,South Eastern Melbourne,2012-13,1 year,All children,18133,16527,1606,91.1,
VIC,False,PHN204,Gippsland,2012-13,1 year,All children,3141,2919,222,92.9,
VIC/NSW,False,PHN205,Murray,2012-13,1 year,All children,7147,6579,568,92,
VIC,False,PHN206,Western Victoria,2012-13,1 year,All children,7304,6816,488,93.3,
QLD,False,PHN301,Brisbane North,2012-13,1 year,All children,11826,10983,843,92.9,
QLD,False,PHN302,Brisbane South,2012-13,1 year,All children,14850,13720,1130,92.4,
QLD,False,PHN303,Gold Coast,2012-13,1 year,All children,6870,6231,639,90.7,
QLD,False,PHN304,Darling Downs and West Moreton,2012-13,1 year,All children,7814,7177,637,91.8,
QLD,False,PHN305,Western Queensland,2012-13,1 year,All children,1227,1137,90,92.6,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,1 year,All children,9763,8902,861,91.2,
QLD,False,PHN307,Northern Queensland,2012-13,1 year,All children,9957,9129,828,91.7,
SA,True,PHN401,Adelaide,2012-13,1 year,All children,14299,13027,1272,91.1,
SA,True,PHN402,Country SA,2012-13,1 year,All children,5612,5141,471,91.6,
WA,False,PHN501,Perth North,2012-13,1 year,All children,13007,11814,1193,90.8,
WA,False,PHN502,Perth South,2012-13,1 year,All children,12492,11153,1339,89.3,
WA,False,PHN503,Country WA,2012-13,1 year,All children,7236,6520,716,90.1,
TAS,False,PHN601,Tasmania,2012-13,1 year,All children,6105,5627,478,92.2,
NT,False,PHN701,Northern Territory,2012-13,1 year,All children,3867,3534,333,91.4,
ACT,False,PHN801,Australian Capital Territory,2012-13,1 year,All children,5381,4989,392,92.7,
NSW,False,PHN101,Central and Eastern Sydney,2012-13,2 years,All children,18749,17085,1664,91.1,
NSW,False,PHN102,Northern Sydney,2012-13,2 years,All children,10953,9965,988,91,
NSW,False,PHN103,Western Sydney,2012-13,2 years,All children,13863,12739,1124,91.9,
NSW,False,PHN104,Nepean Blue Mountains,2012-13,2 years,All children,4951,4605,346,93,
NSW,False,PHN105,South Western Sydney,2012-13,2 years,All children,13477,12441,1036,92.3,
NSW,False,PHN106,South Eastern NSW,2012-13,2 years,All children,6810,6383,427,93.7,
NSW,False,PHN107,Western NSW,2012-13,2 years,All children,4265,4018,247,94.2,
NSW,False,PHN108,Hunter New England and Central Coast,2012-13,2 years,All children,15456,14599,857,94.5,
NSW,False,PHN109,North Coast,2012-13,2 years,All children,5635,5016,619,89,
NSW,False,PHN110,Murrumbidgee,2012-13,2 years,All children,3096,2947,149,95.2,
VIC,False,PHN201,North Western Melbourne,2012-13,2 years,All children,20971,19423,1548,92.6,
VIC,False,PHN202,Eastern Melbourne,2012-13,2 years,All children,16663,15474,1189,92.9,
VIC,False,PHN203,South Eastern Melbourne,2012-13,2 years,All children,17989,16709,1280,92.9,
VIC,False,PHN204,Gippsland,2012-13,2 years,All children,3219,3072,147,95.4,
VIC/NSW,False,PHN205,Murray,2012-13,2 years,All children,7237,6787,450,93.8,
VIC,False,PHN206,Western Victoria,2012-13,2 years,All children,7250,6866,384,94.7,
QLD,False,PHN301,Brisbane North,2012-13,2 years,All children,11760,10935,825,93,
QLD,False,PHN302,Brisbane South,2012-13,2 years,All children,14916,13737,1179,92.1,
QLD,False,PHN303,Gold Coast,2012-13,2 years,All children,6736,6176,560,91.7,
QLD,False,PHN304,Darling Downs and West Moreton,2012-13,2 years,All children,7920,7357,563,92.9,
QLD,False,PHN305,Western Queensland,2012-13,2 years,All children,1213,1150,63,94.8,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,2 years,All children,9701,8892,809,91.7,
QLD,False,PHN307,Northern Queensland,2012-13,2 years,All children,9952,9355,597,94,
SA,True,PHN401,Adelaide,2012-13,2 years,All children,14035,12941,1094,92.2,
SA,True,PHN402,Country SA,2012-13,2 years,All children,5491,5138,353,93.6,
WA,False,PHN501,Perth North,2012-13,2 years,All children,12955,11677,1278,90.1,
WA,False,PHN502,Perth South,2012-13,2 years,All children,12324,11088,1236,90,
WA,False,PHN503,Country WA,2012-13,2 years,All children,7380,6842,538,92.7,
TAS,False,PHN601,Tasmania,2012-13,2 years,All children,6092,5744,348,94.3,
NT,False,PHN701,Northern Territory,2012-13,2 years,All children,3687,3451,236,93.6,
ACT,False,PHN801,Australian Capital Territory,2012-13,2 years,All children,5318,4955,363,93.2,
NSW,False,PHN101,Central and Eastern Sydney,2012-13,5 years,All children,17168,15353,1815,89.4,
NSW,False,PHN102,Northern Sydney,2012-13,5 years,All children,11643,10362,1281,89,
NSW,False,PHN103,Western Sydney,2012-13,5 years,All children,13747,12604,1143,91.7,
NSW,False,PHN104,Nepean Blue Mountains,2012-13,5 years,All children,5109,4745,364,92.9,
NSW,False,PHN105,South Western Sydney,2012-13,5 years,All children,14128,13068,1060,92.5,
NSW,False,PHN106,South Eastern NSW,2012-13,5 years,All children,7393,6886,507,93.1,
NSW,False,PHN107,Western NSW,2012-13,5 years,All children,4342,4080,262,94,
NSW,False,PHN108,Hunter New England and Central Coast,2012-13,5 years,All children,16172,15184,988,93.9,
NSW,False,PHN109,North Coast,2012-13,5 years,All children,6223,5476,747,88,
NSW,False,PHN110,Murrumbidgee,2012-13,5 years,All children,3294,3085,209,93.7,
VIC,False,PHN201,North Western Melbourne,2012-13,5 years,All children,20013,18490,1523,92.4,
VIC,False,PHN202,Eastern Melbourne,2012-13,5 years,All children,17325,15949,1376,92.1,
VIC,False,PHN203,South Eastern Melbourne,2012-13,5 years,All children,18668,17201,1467,92.1,
VIC,False,PHN204,Gippsland,2012-13,5 years,All children,3441,3241,200,94.2,
VIC/NSW,False,PHN205,Murray,2012-13,5 years,All children,7712,7146,566,92.7,
VIC,False,PHN206,Western Victoria,2012-13,5 years,All children,7833,7344,489,93.8,
QLD,False,PHN301,Brisbane North,2012-13,5 years,All children,12305,11317,988,92,
QLD,False,PHN302,Brisbane South,2012-13,5 years,All children,14938,13587,1351,91,
QLD,False,PHN303,Gold Coast,2012-13,5 years,All children,6934,6190,744,89.3,
QLD,False,PHN304,Darling Downs and West Moreton,2012-13,5 years,All children,8115,7544,571,93,
QLD,False,PHN305,Western Queensland,2012-13,5 years,All children,1219,1123,96,92.2,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,5 years,All children,10697,9710,987,90.8,
QLD,False,PHN307,Northern Queensland,2012-13,5 years,All children,10305,9551,754,92.7,
SA,True,PHN401,Adelaide,2012-13,5 years,All children,14117,12766,1351,90.4,
SA,True,PHN402,Country SA,2012-13,5 years,All children,6077,5588,489,92,
WA,False,PHN501,Perth North,2012-13,5 years,All children,13228,11795,1433,89.2,
WA,False,PHN502,Perth South,2012-13,5 years,All children,12447,11024,1423,88.6,
WA,False,PHN503,Country WA,2012-13,5 years,All children,7789,7107,682,91.2,
TAS,False,PHN601,Tasmania,2012-13,5 years,All children,6545,6081,464,92.9,
NT,False,PHN701,Northern Territory,2012-13,5 years,All children,3613,3283,330,90.9,
ACT,False,PHN801,Australian Capital Territory,2012-13,5 years,All children,5104,4710,394,92.3,
NSW,False,PHN101,Central and Eastern Sydney,2016-17,1 year,Aboriginal and Torres Strait Islander children,290,266,24,91.7,
NSW,False,PHN102,Northern Sydney,2016-17,1 year,Aboriginal and Torres Strait Islander children,NP,NP,NP,92.2,#
NSW,False,PHN103,Western Sydney,2016-17,1 year,Aboriginal and Torres Strait Islander children,259,240,19,92.7,
NSW,False,PHN104,Nepean Blue Mountains,2016-17,1 year,Aboriginal and Torres Strait Islander children,251,236,15,94,
NSW,False,PHN105,South Western Sydney,2016-17,1 year,Aboriginal and Torres Strait Islander children,373,351,22,94.1,
NSW,False,PHN106,South Eastern NSW,2016-17,1 year,Aboriginal and Torres Strait Islander children,490,466,24,95.1,
NSW,False,PHN107,Western NSW,2016-17,1 year,Aboriginal and Torres Strait Islander children,902,838,64,92.9,
NSW,False,PHN108,Hunter New England and Central Coast,2016-17,1 year,Aboriginal and Torres Strait Islander children,1711,1630,81,95.3,
NSW,False,PHN109,North Coast,2016-17,1 year,Aboriginal and Torres Strait Islander children,627,595,32,94.9,
NSW,False,PHN110,Murrumbidgee,2016-17,1 year,Aboriginal and Torres Strait Islander children,311,297,14,95.5,
VIC,False,PHN201,North Western Melbourne,2016-17,1 year,Aboriginal and Torres Strait Islander children,387,358,29,92.5,
VIC,False,PHN202,Eastern Melbourne,2016-17,1 year,Aboriginal and Torres Strait Islander children,207,189,18,91.3,
VIC,False,PHN203,South Eastern Melbourne,2016-17,1 year,Aboriginal and Torres Strait Islander children,149,138,11,92.6,
VIC,False,PHN204,Gippsland,2016-17,1 year,Aboriginal and Torres Strait Islander children,127,111,16,87.4,
VIC/NSW,False,PHN205,Murray,2016-17,1 year,Aboriginal and Torres Strait Islander children,534,479,55,89.7,
VIC,False,PHN206,Western Victoria,2016-17,1 year,Aboriginal and Torres Strait Islander children,261,235,26,90,
QLD,False,PHN301,Brisbane North,2016-17,1 year,Aboriginal and Torres Strait Islander children,544,508,36,93.4,
QLD,False,PHN302,Brisbane South,2016-17,1 year,Aboriginal and Torres Strait Islander children,663,613,50,92.5,
QLD,False,PHN303,Gold Coast,2016-17,1 year,Aboriginal and Torres Strait Islander children,198,184,14,92.9,
QLD,False,PHN304,Darling Downs and West Moreton,2016-17,1 year,Aboriginal and Torres Strait Islander children,798,742,56,93,
QLD,False,PHN305,Western Queensland,2016-17,1 year,Aboriginal and Torres Strait Islander children,312,287,25,92,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,1 year,Aboriginal and Torres Strait Islander children,836,762,74,91.1,
QLD,False,PHN307,Northern Queensland,2016-17,1 year,Aboriginal and Torres Strait Islander children,1980,1812,168,91.5,
SA,True,PHN401,Adelaide,2016-17,1 year,Aboriginal and Torres Strait Islander children,484,435,49,89.9,
SA,True,PHN402,Country SA,2016-17,1 year,Aboriginal and Torres Strait Islander children,390,364,26,93.3,
WA,False,PHN501,Perth North,2016-17,1 year,Aboriginal and Torres Strait Islander children,378,321,57,84.9,
WA,False,PHN502,Perth South,2016-17,1 year,Aboriginal and Torres Strait Islander children,507,433,74,85.4,
WA,False,PHN503,Country WA,2016-17,1 year,Aboriginal and Torres Strait Islander children,1243,1134,109,91.2,
TAS,False,PHN601,Tasmania,2016-17,1 year,Aboriginal and Torres Strait Islander children,419,389,30,92.8,
NT,False,PHN701,Northern Territory,2016-17,1 year,Aboriginal and Torres Strait Islander children,1289,1178,111,91.4,
ACT,False,PHN801,Australian Capital Territory,2016-17,1 year,Aboriginal and Torres Strait Islander children,125,119,6,95.2,
NSW,False,PHN101,Central and Eastern Sydney,2016-17,2 years,Aboriginal and Torres Strait Islander children,225,203,22,90.2,
NSW,False,PHN102,Northern Sydney,2016-17,2 years,Aboriginal and Torres Strait Islander children,NP,NP,NP,90.6,#
NSW,False,PHN103,Western Sydney,2016-17,2 years,Aboriginal and Torres Strait Islander children,306,266,40,86.9,
NSW,False,PHN104,Nepean Blue Mountains,2016-17,2 years,Aboriginal and Torres Strait Islander children,268,248,20,92.5,
NSW,False,PHN105,South Western Sydney,2016-17,2 years,Aboriginal and Torres Strait Islander children,306,280,26,91.5,
NSW,False,PHN106,South Eastern NSW,2016-17,2 years,Aboriginal and Torres Strait Islander children,525,477,48,90.9,
NSW,False,PHN107,Western NSW,2016-17,2 years,Aboriginal and Torres Strait Islander children,858,762,96,88.8,
NSW,False,PHN108,Hunter New England and Central Coast,2016-17,2 years,Aboriginal and Torres Strait Islander children,1613,1486,127,92.1,
NSW,False,PHN109,North Coast,2016-17,2 years,Aboriginal and Torres Strait Islander children,666,605,61,90.8,
NSW,False,PHN110,Murrumbidgee,2016-17,2 years,Aboriginal and Torres Strait Islander children,315,277,38,87.9,
VIC,False,PHN201,North Western Melbourne,2016-17,2 years,Aboriginal and Torres Strait Islander children,292,269,23,92.1,
VIC,False,PHN202,Eastern Melbourne,2016-17,2 years,Aboriginal and Torres Strait Islander children,166,156,10,94,
VIC,False,PHN203,South Eastern Melbourne,2016-17,2 years,Aboriginal and Torres Strait Islander children,138,122,16,88.4,
VIC,False,PHN204,Gippsland,2016-17,2 years,Aboriginal and Torres Strait Islander children,123,107,16,87,
VIC/NSW,False,PHN205,Murray,2016-17,2 years,Aboriginal and Torres Strait Islander children,485,425,60,87.6,
VIC,False,PHN206,Western Victoria,2016-17,2 years,Aboriginal and Torres Strait Islander children,261,236,25,90.4,
QLD,False,PHN301,Brisbane North,2016-17,2 years,Aboriginal and Torres Strait Islander children,566,500,66,88.3,
QLD,False,PHN302,Brisbane South,2016-17,2 years,Aboriginal and Torres Strait Islander children,626,551,75,88,
QLD,False,PHN303,Gold Coast,2016-17,2 years,Aboriginal and Torres Strait Islander children,192,174,18,90.6,
QLD,False,PHN304,Darling Downs and West Moreton,2016-17,2 years,Aboriginal and Torres Strait Islander children,775,697,78,89.9,
QLD,False,PHN305,Western Queensland,2016-17,2 years,Aboriginal and Torres Strait Islander children,339,306,33,90.3,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,2 years,Aboriginal and Torres Strait Islander children,889,789,100,88.8,
QLD,False,PHN307,Northern Queensland,2016-17,2 years,Aboriginal and Torres Strait Islander children,1985,1753,232,88.3,
SA,True,PHN401,Adelaide,2016-17,2 years,Aboriginal and Torres Strait Islander children,478,418,60,87.4,
SA,True,PHN402,Country SA,2016-17,2 years,Aboriginal and Torres Strait Islander children,383,341,42,89,
WA,False,PHN501,Perth North,2016-17,2 years,Aboriginal and Torres Strait Islander children,375,307,68,81.9,
WA,False,PHN502,Perth South,2016-17,2 years,Aboriginal and Torres Strait Islander children,537,434,103,80.8,
WA,False,PHN503,Country WA,2016-17,2 years,Aboriginal and Torres Strait Islander children,1209,1032,177,85.4,
TAS,False,PHN601,Tasmania,2016-17,2 years,Aboriginal and Torres Strait Islander children,476,433,43,91,
NT,False,PHN701,Northern Territory,2016-17,2 years,Aboriginal and Torres Strait Islander children,1347,1154,193,85.7,
ACT,False,PHN801,Australian Capital Territory,2016-17,2 years,Aboriginal and Torres Strait Islander children,141,125,16,88.7,
NSW,False,PHN101,Central and Eastern Sydney,2016-17,5 years,Aboriginal and Torres Strait Islander children,208,195,13,93.8,
NSW,False,PHN102,Northern Sydney,2016-17,5 years,Aboriginal and Torres Strait Islander children,NP,NP,NP,100,#
NSW,False,PHN103,Western Sydney,2016-17,5 years,Aboriginal and Torres Strait Islander children,275,262,13,95.3,
NSW,False,PHN104,Nepean Blue Mountains,2016-17,5 years,Aboriginal and Torres Strait Islander children,NP,NP,NP,98,
NSW,False,PHN105,South Western Sydney,2016-17,5 years,Aboriginal and Torres Strait Islander children,303,296,7,97.7,
NSW,False,PHN106,South Eastern NSW,2016-17,5 years,Aboriginal and Torres Strait Islander children,502,483,19,96.2,
NSW,False,PHN107,Western NSW,2016-17,5 years,Aboriginal and Torres Strait Islander children,859,833,26,97,
NSW,False,PHN108,Hunter New England and Central Coast,2016-17,5 years,Aboriginal and Torres Strait Islander children,1466,1418,48,96.7,
NSW,False,PHN109,North Coast,2016-17,5 years,Aboriginal and Torres Strait Islander children,636,614,22,96.5,
NSW,False,PHN110,Murrumbidgee,2016-17,5 years,Aboriginal and Torres Strait Islander children,289,282,7,97.6,
VIC,False,PHN201,North Western Melbourne,2016-17,5 years,Aboriginal and Torres Strait Islander children,258,241,17,93.4,
VIC,False,PHN202,Eastern Melbourne,2016-17,5 years,Aboriginal and Torres Strait Islander children,NP,NP,NP,96.4,
VIC,False,PHN203,South Eastern Melbourne,2016-17,5 years,Aboriginal and Torres Strait Islander children,120,114,6,95,
VIC,False,PHN204,Gippsland,2016-17,5 years,Aboriginal and Torres Strait Islander children,NP,NP,NP,96.4,
VIC/NSW,False,PHN205,Murray,2016-17,5 years,Aboriginal and Torres Strait Islander children,388,367,21,94.6,
VIC,False,PHN206,Western Victoria,2016-17,5 years,Aboriginal and Torres Strait Islander children,206,185,21,89.8,
QLD,False,PHN301,Brisbane North,2016-17,5 years,Aboriginal and Torres Strait Islander children,505,488,17,96.6,
QLD,False,PHN302,Brisbane South,2016-17,5 years,Aboriginal and Torres Strait Islander children,569,539,30,94.7,
QLD,False,PHN303,Gold Coast,2016-17,5 years,Aboriginal and Torres Strait Islander children,199,190,9,95.5,
QLD,False,PHN304,Darling Downs and West Moreton,2016-17,5 years,Aboriginal and Torres Strait Islander children,724,697,27,96.3,
QLD,False,PHN305,Western Queensland,2016-17,5 years,Aboriginal and Torres Strait Islander children,339,324,15,95.6,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,5 years,Aboriginal and Torres Strait Islander children,806,767,39,95.2,
QLD,False,PHN307,Northern Queensland,2016-17,5 years,Aboriginal and Torres Strait Islander children,1894,1843,51,97.3,
SA,True,PHN401,Adelaide,2016-17,5 years,Aboriginal and Torres Strait Islander children,449,412,37,91.8,
SA,True,PHN402,Country SA,2016-17,5 years,Aboriginal and Torres Strait Islander children,416,398,18,95.7,
WA,False,PHN501,Perth North,2016-17,5 years,Aboriginal and Torres Strait Islander children,317,287,30,90.5,
WA,False,PHN502,Perth South,2016-17,5 years,Aboriginal and Torres Strait Islander children,481,450,31,93.6,
WA,False,PHN503,Country WA,2016-17,5 years,Aboriginal and Torres Strait Islander children,1165,1119,46,96.1,
TAS,False,PHN601,Tasmania,2016-17,5 years,Aboriginal and Torres Strait Islander children,470,449,21,95.5,
NT,False,PHN701,Northern Territory,2016-17,5 years,Aboriginal and Torres Strait Islander children,1288,1220,68,94.7,
ACT,False,PHN801,Australian Capital Territory,2016-17,5 years,Aboriginal and Torres Strait Islander children,120,114,6,95,
NSW,False,PHN101,Central and Eastern Sydney,2015-16,1 year,Aboriginal and Torres Strait Islander children,215,199,16,92.7,
NSW,False,PHN102,Northern Sydney,2015-16,1 year,Aboriginal and Torres Strait Islander children,NP,NP,NP,97.2,#
NSW,False,PHN103,Western Sydney,2015-16,1 year,Aboriginal and Torres Strait Islander children,310,272,38,87.9,
NSW,False,PHN104,Nepean Blue Mountains,2015-16,1 year,Aboriginal and Torres Strait Islander children,239,221,18,92.5,
NSW,False,PHN105,South Western Sydney,2015-16,1 year,Aboriginal and Torres Strait Islander children,315,289,26,91.6,
NSW,False,PHN106,South Eastern NSW,2015-16,1 year,Aboriginal and Torres Strait Islander children,535,490,45,91.6,
NSW,False,PHN107,Western NSW,2015-16,1 year,Aboriginal and Torres Strait Islander children,865,782,83,90.4,
NSW,False,PHN108,Hunter New England and Central Coast,2015-16,1 year,Aboriginal and Torres Strait Islander children,1577,1479,98,93.8,
NSW,False,PHN109,North Coast,2015-16,1 year,Aboriginal and Torres Strait Islander children,655,603,52,92.1,
NSW,False,PHN110,Murrumbidgee,2015-16,1 year,Aboriginal and Torres Strait Islander children,309,286,23,92.5,
VIC,False,PHN201,North Western Melbourne,2015-16,1 year,Aboriginal and Torres Strait Islander children,287,259,28,90.2,
VIC,False,PHN202,Eastern Melbourne,2015-16,1 year,Aboriginal and Torres Strait Islander children,159,144,15,90.7,
VIC,False,PHN203,South Eastern Melbourne,2015-16,1 year,Aboriginal and Torres Strait Islander children,132,123,9,93.1,
VIC,False,PHN204,Gippsland,2015-16,1 year,Aboriginal and Torres Strait Islander children,120,110,10,91.7,
VIC/NSW,False,PHN205,Murray,2015-16,1 year,Aboriginal and Torres Strait Islander children,483,428,55,88.6,
VIC,False,PHN206,Western Victoria,2015-16,1 year,Aboriginal and Torres Strait Islander children,225,211,14,93.8,
QLD,False,PHN301,Brisbane North,2015-16,1 year,Aboriginal and Torres Strait Islander children,569,508,61,89.3,
QLD,False,PHN302,Brisbane South,2015-16,1 year,Aboriginal and Torres Strait Islander children,608,527,81,86.7,
QLD,False,PHN303,Gold Coast,2015-16,1 year,Aboriginal and Torres Strait Islander children,185,169,16,91.6,
QLD,False,PHN304,Darling Downs and West Moreton,2015-16,1 year,Aboriginal and Torres Strait Islander children,772,694,78,89.8,
QLD,False,PHN305,Western Queensland,2015-16,1 year,Aboriginal and Torres Strait Islander children,364,318,46,87.4,
QLD,False,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,1 year,Aboriginal and Torres Strait Islander children,846,754,92,89.1,
QLD,False,PHN307,Northern Queensland,2015-16,1 year,Aboriginal and Torres Strait Islander children,1993,1734,259,87,
