indigenous_status,detention_end_reason,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,Completed,388,30,700,116,178,n.p.,n.p.,529,1957
First Nations,Released on bail,978,63,526,609,87,29,10,96,2398
First Nations,Released on parole,—,—,—,—,—,—,—,—,—
First Nations,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
First Nations,Death,—,—,—,—,—,—,—,—,—
First Nations,Other,27,—,17,3,2,n.p.,n.p.,7,62
First Nations,Total,1393,93,1243,728,267,42,19,632,4417
Non-Indigenous,Completed,199,154,256,74,145,n.p.,n.p.,24,870
Non-Indigenous,Released on bail,842,401,237,383,57,61,23,2,2006
Non-Indigenous,Released on parole,—,—,—,—,—,—,—,—,—
Non-Indigenous,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Non-Indigenous,Death,—,—,—,—,—,—,—,—,—
Non-Indigenous,Other,26,2,8,1,—,n.p.,n.p.,1,66
Non-Indigenous,Total,1067,557,501,458,202,93,37,27,2942
Not stated,Completed,5,1,—,—,2,—,—,4,12
Not stated,Released on bail,40,1,3,—,—,—,—,—,44
Not stated,Released on parole,—,—,—,—,—,—,—,—,—
Not stated,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Not stated,Death,—,—,—,—,—,—,—,—,—
Not stated,Other,—,—,—,—,—,—,—,—,—
Not stated,Total,45,2,3,—,2,—,—,4,56
Total,Completed,592,185,956,190,325,19,15,557,2839
Total,Released on bail,1860,465,766,992,144,90,33,98,4448
Total,Released on parole,—,—,—,—,—,—,—,—,—
Total,Escaped or absconded,—,—,—,—,—,n.a.,—,—,—
Total,Death,—,—,—,—,—,—,—,—,—
Total,Other,53,2,25,4,2,26,8,8,128
Total,Total,2505,652,1747,1186,471,135,56,663,7415
