area_category,area_type,era_number,file_reference,location,legal_area_km2,area_status,publish_date,area_start_date,area_end_date,application_open_date,application_close_date,term_years,term_days,finalised_date,applicants,related_tenements,criteria,longitude,latitude
exploration_release_areas_released,Exploration Release,ERA 002081,ERA 002081,MIDDLE RIVER AREA - Approximately 50 km southwest of Kingscote,68,Published,2026-04-13T02:30:00Z,2026-04-15T02:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,137.05128200000001,-35.690218
exploration_release_areas_released,Exploration Release,ERA 002063,ERA 002063,Quorn area approximately 5km south of Quorn,645,Published,2026-04-13T02:30:00Z,2020-12-10T01:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,138.0430085,-32.5401885
exploration_release_areas_released,Exploration Release,ERA 002036,ERA 002036,Lindon area approximately 360km east-northeast of Roxby Downs,611,Published,2026-03-23T01:30:00Z,2022-05-19T02:30:00Z,,2026-05-25T02:30:00Z,,0,0,,,,,140.517939,-29.323483
exploration_release_areas_released,Exploration Release,ERA 002060,ERA 002060,Koolunga area approximately 25km southeast of Port Pirie,630,Published,2026-04-13T02:30:00Z,2020-12-04T01:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,138.326354,-33.4818555
exploration_release_areas_released,Exploration Release,ERA 002078,ERA 002078,Etadunna area approximately 370km east of Coober Pedy,965,Published,2026-04-13T02:30:00Z,2022-09-21T02:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,138.7012905,-28.7651665
exploration_release_areas_released,Exploration Release,ERA 002090,ERA 002090,Yumbarra area approximately 75km northwest of Ceduna,669,Published,2026-05-18T02:30:00Z,2021-04-12T02:30:00Z,,2026-07-20T02:30:00Z,,0,0,,,,,133.3513795,-31.615236
exploration_release_areas_released,Exploration Release,ERA 002135,ERA 002135,Arcoona area approximately 10km southwest of Woomera,116,Published,2026-06-22T02:30:00Z,2025-03-23T01:30:00Z,,2026-08-24T02:30:00Z,,0,0,,,,,136.65967849999998,-31.240826
exploration_release_areas_released,Exploration Release,ERA 002039,ERA 002039,Mulyungarie area - Approximately 100 km northeast of Olary,377.58,Published,2026-03-23T01:30:00Z,2026-02-11T01:30:00Z,,2026-05-25T02:30:00Z,,0,0,,,,,140.826293,-31.473486
exploration_release_areas_released,Exploration Release,ERA 002038,ERA 002038,Mulyungarie area approximately 5km north of Cockburn,52.32,Published,2026-03-23T01:30:00Z,2024-08-27T02:30:00Z,,2026-05-25T02:30:00Z,,0,0,,,,,140.926299,-32.0318135
exploration_release_areas_released,Exploration Release,ERA 002064,ERA 002064,Wilmington area approximately 40km east-southeast of Port Augusta,202,Published,2026-04-13T02:30:00Z,2023-07-25T02:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,138.16800899999998,-32.615187500000005
exploration_release_areas_released,Exploration Release,ERA 002028,ERA 002028,Frome Downs area approximately 310km northeast of Port Augusta,936,Published,2026-03-23T01:30:00Z,2022-05-09T02:30:00Z,,2026-05-25T02:30:00Z,,0,0,,,,,140.259619,-30.373489
exploration_release_areas_released,Exploration Release,ERA 002086,ERA 002086,Lake Everard area approximately 120km east of Ceduna,948,Published,2026-05-18T02:30:00Z,2022-05-24T02:30:00Z,,2026-07-20T02:30:00Z,,0,0,,,,,135.101368,-32.0235525
exploration_release_areas_released,Exploration Release,ERA 002139,ERA 002139,South Gap area approximately 85km northwest of Port Augusta,175,Published,2026-06-22T02:30:00Z,2023-09-08T02:30:00Z,,2026-08-24T02:30:00Z,,0,0,,,,,137.551339,-31.773524000000002
exploration_release_areas_released,Exploration Release,ERA 002113,ERA 002113,Uley area approximately 20km west of Port Lincoln,154,Published,2026-06-22T02:30:00Z,2023-01-09T01:30:00Z,,2026-08-24T02:30:00Z,,0,0,,,,,135.618076,-34.706893
exploration_release_areas_released,Exploration Release,ERA 002022,ERA 002022,Mutooroo area approximately 40km southeast of Olary,90,Published,2026-03-23T01:30:00Z,2024-09-13T02:30:00Z,,2026-05-25T02:30:00Z,,0,0,,,,,140.809638,-32.4734895
exploration_release_areas_released,Exploration Release,ERA 002136,ERA 002136,Wirraminna area approximately 60km west of Woomera,117,Published,2026-06-22T02:30:00Z,2020-09-22T02:30:00Z,,2026-08-24T02:30:00Z,,0,0,,,,,136.1263495,-31.1819105
exploration_release_areas_released,Exploration Release,ERA 002083,ERA 002083,NEPEAN BAY AREA - Approximately 10 km south of Kingscote,67,Published,2026-04-13T02:30:00Z,2026-04-09T02:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,137.64763549999998,-35.748534
exploration_release_areas_released,Exploration Release,ERA 002051,ERA 002051,Kongal area approximately 20km southeast of Keith,687,Published,2026-04-13T02:30:00Z,2024-03-21T01:30:00Z,,2026-06-15T02:30:00Z,,0,0,,,,,140.476378,-36.390170499999996
exploration_release_areas_released,Exploration Release,ERA 002094,ERA 002094,Yellabinna area approximately 130km northwest of Ceduna,899,Published,2026-05-18T02:30:00Z,2021-06-11T02:30:00Z,,2026-07-20T02:30:00Z,,0,0,,,,,132.7513785,-31.056903
exploration_release_areas_released,Exploration Release,ERA 002138,ERA 002138,Wood Duck area approximately 90km southeast of Oodnadatta,484,Published,2026-06-22T02:30:00Z,2018-08-07T02:30:00Z,,2026-08-24T02:30:00Z,,0,0,,,,,136.217971,-28.0235185
